date,speaker,institution,title,abstract,format,location,event_url,registration_url,speaker_url,photo_url,youtube_url,SummaryPDF,status,published
8/19/2026,Bharat Ratra,Kansas State University,"The Accelerating Expanding Universe: Dark Matter, Dark Energy, and Einstein’s Cosmological Constant","Dark energy is the leading candidate for the mechanism responsible for causing the cosmological expansion to accelerate. Bharat Ratra will describe the astronomical data that persuade cosmologists that as-yet-undetected dark energy and dark matter are by far the main components of the energy budget of the universe at the present time. He will review how these observations led to a quantitative standard model of cosmology describing the evolution of the universe from an early epoch of inflation to the complex hierarchy of structure seen today. In this non-technical talk, he will also discuss the basic physics and history of ideas on which this model is based.",In person,,https://events.howard.edu/event/the-accelerating-expanding-universe-dark-matter-dark-energy-and-einsteins-cosmological-constant,,,,,,scheduled,TRUE
8/26/2026,Nadya Mason,The University of Chicago,"No Strain, No Gain: Modifying Transport in 2D Materials by Engineering Strain","Applying strain can drastically modify the properties of electronic materials - for example, strained silicon transistors showed huge mobility increases that revolutionized the computer industry. Now, there is wide interest in using strain to modify the next-generation of electronic materials: two-dimensional systems. Two-dimensional materials bridge the limits of superior electric tunability and high mechanical flexibility, making them excellent candidates for mechanical tuning of electronic properties. Strained graphene, in particular, is predicted to manifest a bandgap opening as well as novel physical effects such as large ""pseudo""-magnetic fields. However, it is challenging to create global strain across graphene to modify transport. In this talk, we demonstrate how controllable, global strain in graphene can be engineered by depositing graphene on corrugated substrates. We show that strained graphene exhibits bandgap openings and pseudomagnetic field effects that depend on the magnitude of induced strain. Control of the strain degree of freedom provides a novel platform both for fundamental studies of 2D electron correlations and for prospective applications in 2D electronic devices.",Zoom,Zoom,,,,assets/photos/nadyamason.jpg,https://youtu.be/4AAB57odypc?si=cVSM_i7yr6N9jUhS,,scheduled,TRUE
9/2/2026,Alireza Valizadeh ,Howard University,"Brain rhythms: signature, carrier, or code?","Neural oscillations are among the most robust phenomena in systems neuroscience and among the most contested in their interpretation. Any circuit with delayed negative feedback oscillates once its gain is sufficient, so the presence of a rhythm needs no functional explanation, and its frequency is a readout of loop architecture. The interesting question is whether anything reads it. This talk separates three possibilities that produce identical waveforms: a signature that reports the state of a circuit to an outside observer, a carrier that is necessary for transmission but carries no information itself, and a code in which phase is the symbol and a receiver decodes it. These map onto an evidence ladder from presence, through correlation, to coding and causation, each with a decisive test. Most evidence on cortical rhythms sits at the correlation level, confounded with firing rate, E/I drive and the aperiodic background, and often tested against a null that real behavior beats with no rhythm present. I review what survives stronger tests: desynchronization with rates preserved in the insect antennal lobe, phase-matched stimulation in rodent hippocampus and human sensorimotor cortex, and stimuli perceived normally while producing no narrowband gamma. Modelling from my own group shows that coherence-based communication and delay-organized transmission are physically realizable, but possible is not the same as used. The rhythm is not in doubt. What reads it is.",Zoom,Zoom,,,,assets/photos/AlirezaValizadeh.png,https://youtu.be/I1hi86xISKY?si=t18i6z8tx3tJuPhD,,scheduled,TRUE
9/9/2026,James Yorke,University of Maryland,How AIs and physicists think ,"I will discuss what we can learn about how we think and solve problems from how AIs process ideas, building on Daniel Kahneman's Systems 1 and 2 approach (Nobel Prize in Economics, 2002). My examples include chess players and several of Einstein's best ideas.",In person,,,,,,,summaries/Yorke_Talk_Summary.pdf,scheduled,TRUE
9/16/2026,Geraldine Cochrane,The Ohio State University,Findings from A National Initiative on Transforming Introductory Physics Sequences,"Dominant narratives in introductory physics education often focus on student preparation in mathematics. Students who have not reached a certain level of proficiency as determined by math placement tests are often labeled as underprepared. In this presentation, I will challenge this narrative by reframing the notion of underprepared. Indeed, many physics departments and instructors are underprepared to support the students accepted into their institutions. The Transforming Introductory Physics Sequences to Support all Students (TIPSSS) Network is a network of physicists developing curricular materials, transforming courses, and research the effectiveness of these efforts to help departments meet the needs of their physics students, regardless of the student's prior mathematics preparation. I will present and overview of the TIPSSS activities and also preliminary findings from the TIPSSS studies.",In person,,,,,assets/photos/cochrane.jpg,,summaries/Cochran_Talk_Summary.pdf,scheduled,TRUE
9/23/2026,Marcel Corchado,Colorado University,Solar Flares: Solar Machines Quickly Converting Magnetic Energy into Excess Radiation Across the Electromagnetic Spectrum!,"In the outer atmospheres of active starts the Lorentz force is understood to dominate the dynamics controlling solar eruptions like flares and coronal mass ejections. Since plasmas are highly conductive mediums, they easily dissipate electrostatic field, meaning that dynamics are controlled by the local magnetic fields.In this talk I will discuss how we use spatially resolved ultraviolet emission, and vector magnetic field measurements to constrain how much magnetic fields participate in the eruption and generation of the excess UV and X-ray radiation in solar flares. Through numerical modeling we find that magnetic structures associated with plasma instabilities within the energy conversion region may play an important role in particle acceleration and structuring the emission sites in the lower solar atmosphere.",In person,,,,,assets/photos/MarcelCorchado.jpg,,,scheduled,TRUE
9/30/2026,Djordje Minic,Virginia Tech,The Weight of the Quantum,"Spacetime, as it is currently known in physics, is a classical concept, and our deepest theory of spacetime physics, general relativity, the classical relativistic theory of gravity, is a background independent theory of a dynamical spacetime geometry. Quantum theory, on the other hand, is the deepest theory we have of matter degrees of freedom, and it is currently formulated in a classical spacetime, as an intrinsically probabilistic, contextual theory of non-classical, interfering probabilities, with a fixed rule for computing those probabilities, called the Born rule. I will argue that the quantum nature of spacetime, which apart from classical spacetime also includes a dual spacetime that does not commute with classical spacetime, is the reason behind an intrinsically probabilistic and contextual nature of quantum theory, with the fixed Born rule. So, quantum theory teaches us something new about spacetime! This insight is important for all applications of quantum theory. In the context of quantum gravity, quantum theory is gravitized into a background independent structure with dynamical and contextual quantum probabilities. This proposal (quantum gravity = gravitized quantum theory) can be checked experimentally by looking for intrinsic triple interference (which is identically zero in quantum theory, as implied by the Born rule) in the context of massive quantum probes. I will also discuss an explicit realization of such a gravitized quantum theory as well as its empirical implications for the observed vacuum energy and the masses of elementary particles. Finally, I will 
argue that these lessons about quantum probabilities (and their generalizations) 
can be applied in the context of complex adaptive (for example, living) systems.
This talk is based on my popular book ``The Weight of Quantum: Quantum Theory and the Structure of Physics'' (co-authored with Tristan Hubsch from Howard University)
https://www.taylorfrancis.com/books/mono/10.1201/9781003710196/weight-quantum-tristan-h%C3%BCbsch-djordje-minic .",Zoom,,,,,assets/photos/minic.jpg,,,scheduled,TRUE
10/7/2026,Reza Ejtehadi,ICTP,Life is in motion: following the laws of physics.,"How living things move and how they control these movements to find food or escape danger is a fundamental question. The answer to this is potentially far more complex for large systems than our current understanding of physics allows. However, we attempt to understand how this process works using simple models. These toy models may be simple, but they can swim and sense their surroundings to find food or escape hazards.",Zoom,,,,,,,,scheduled,TRUE
10/14/2026,Sairam Geethanath,Johns Hopkins University,,,In person,,,,,,,,scheduled,TRUE
10/21/2026,Dr. en C. Paola Ballesteros Zebadúa,National Institute of Neurology and Neurosurgery,When Time Matters in Radiation Therapy: How Ultra-High Dose Rates Challenge Classical Concepts in Radiobiology and Medical Physics,"Radiation therapy has traditionally focused on the spatial distribution of absorbed dose to maximize tumor control while minimizing normal tissue toxicity. However, the emergence of FLASH radiotherapy, where radiation is delivered at ultra-high dose rates over extremely short timescales, has challenged our understanding of how the temporal structure of radiation delivery influences biological responses. This seminar will introduce the fundamental radiobiological and medical physics concepts needed to understand FLASH radiotherapy, including the role of dose rate, oxygen effects, radiation-induced damage, and the technological challenges associated with delivering and measuring ultra-fast radiation delivery. We will discuss how FLASH has raised new questions at the interface of physics, chemistry, and biology, requiring an understanding of processes occurring across very different temporal and spatial scales. Finally, I will present our recent work combining experimental radiobiology and mathematical modeling to investigate how oxygen dynamics, tissue physiology, and irradiation times interact to produce dose-rate-dependent biological responses. These studies illustrate how integrating physics, biology, and computational modeling can help elucidate the mechanisms underlying the FLASH effect and guide the future development of ultra-high dose rate radiotherapy.",Zoom,,,,,,,,scheduled,TRUE
